,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
349,wonthaggi,2154826,-38.6,70.6,24,78,2.89
350,san patricio,3437029,-26.98,78.21,0,66,6.02
351,cayenne,3382160,4.94,78.8,90,78,3.36
352,prince rupert,6113406,54.32,33.8,1,37,17.22
353,coracao de maria,3471711,-15.26,84.2,20,79,5.82
354,lensk,2020838,60.71,16.2,76,79,5.12
355,kunjah,1172663,32.53,50.0,12,81,3.85
356,hearst,5973108,49.69,2.47,0,67,4.12
357,orsha,624079,54.51,33.12,8,88,16.82
358,larap,1707233,14.3,77.49,48,97,10.11
359,ureki,611274,42.0,42.8,75,81,13.87
360,uddevalla,2666670,58.35,41.0,92,100,8.05
361,palic,3189595,46.1,32.0,0,85,2.24
362,agadir,2561668,30.42,50.0,0,39,3.36
363,san pedro,3428576,-33.68,75.87,0,56,9.04
364,chalus,139223,36.66,41.0,20,93,4.7
365,saldanha,2737599,41.42,33.3,0,84,4.74
366,tura,1254046,25.52,56.38,92,92,3.29
367,zakopane,3080866,49.3,28.4,0,86,4.7
368,manta,685981,45.1,23.67,0,73,3.06
369,rock springs,5836898,41.59,21.2,1,62,26.4
370,verkhoyansk,2013465,67.55,-35.33,48,63,3.33
371,tromso,3133895,69.65,30.2,75,86,41.38
372,silifke,300808,36.38,44.01,92,100,7.09
373,villa maria,3688689,4.5,60.8,75,77,2.24
374,chino valley,5289658,34.76,44.6,40,48,6.93
375,muravlenko,1540711,63.79,5.31,56,75,7.58
376,kikwit,2314705,-5.04,71.05,88,100,5.53
377,jalingo,2351027,10.3,67.63,0,25,10.45
378,borogontsy,2026160,62.67,-29.12,36,46,3.56
379,ternate,1682474,14.29,75.2,20,73,4.7
380,clyde river,5924351,70.47,-4.01,90,91,20.8
381,hambantota,1244926,6.12,78.48,8,100,6.08
382,oruro,3909234,-17.97,47.2,68,100,3.62
383,kazerun,128321,29.62,46.98,64,100,2.28
384,trinidad,3439749,-33.52,73.26,0,63,7.65
385,te anau,2181625,-45.41,59.08,36,53,6.31
386,moindou,2140466,-21.69,87.8,75,66,9.17
387,rincon,4218882,32.3,68.0,1,88,6.93
388,loei,1609071,17.49,71.6,75,100,3.36
389,kendari,1640344,-3.99,75.82,44,99,3.74
390,bambanglipuro,1650434,-7.95,72.99,64,99,4.07
391,port blair,1259385,11.67,83.25,0,100,1.32
392,revelstoke,6121621,50.99,33.8,20,64,5.82
393,kirakira,2178753,-10.46,83.02,92,100,30.47
394,touros,3386213,-5.2,80.6,0,88,2.24
395,villa guerrero,3980172,21.98,80.01,0,27,2.89
396,nemuro,2128975,43.32,23.0,20,79,11.41
397,belmonte,8010472,40.36,34.78,0,79,2.39
398,waipawa,2185329,-39.94,69.3,36,53,7.25
399,westport,2960970,53.8,50.04,92,96,21.34
400,santa maria,3450083,-29.69,71.6,40,88,6.93
401,old saybrook,4840035,41.29,39.2,1,47,12.75
402,kalawit,1679429,7.91,78.39,68,76,5.75
403,atar,2381334,20.52,59.04,0,39,8.59
404,karaton,1630058,-6.34,75.2,32,94,3.36
405,kosa,544318,59.94,14.22,68,83,4.85
406,tsurib,480798,42.24,15.25,76,91,1.88
407,evanston,4891382,42.04,28.4,90,63,10.29
408,machaneng,933488,-23.19,66.33,24,93,2.84
409,shache,1280037,38.42,15.93,8,78,6.13
410,imbituba,3461370,-28.24,71.6,75,94,2.24
411,clinton,4320277,30.87,71.6,90,71,5.82
412,champerico,3530097,16.38,93.2,5,36,18.34
413,kavaratti,1267390,10.57,81.58,0,100,10.04
414,verkhnevilyuysk,2013639,63.45,-4.06,0,77,2.51
415,russell,3844421,-33.01,91.4,0,22,6.93
416,ozernovskiy,2122293,51.5,18.0,68,97,3.33
417,necochea,3430443,-38.55,78.03,0,58,6.08
418,inhambane,1045114,-23.87,74.97,88,100,3.89
419,shubarkuduk,608271,49.15,19.3,88,88,3.89
420,itoman,1861280,26.12,62.6,75,77,9.17
421,roald,3141667,62.58,32.0,80,100,4.7
422,kattivakkam,1267433,13.22,77.0,40,94,5.35
423,saint-prosper,6137631,46.21,19.62,68,72,10.89
424,batagay-alyta,2027042,67.8,-22.42,36,59,4.52
425,paita,3694112,-5.09,79.65,8,67,8.1
426,roebourne,2062276,-20.77,86.13,0,54,4.85
427,dunedin,2191562,-45.87,60.07,24,69,3.06
428,paramonga,3933024,-10.68,74.7,0,98,12.68
429,two rivers,5276609,44.15,21.2,90,79,5.82
430,aksarka,1512019,66.56,-10.99,68,72,12.68
431,tuatapere,2180815,-46.13,57.69,88,92,14.18
432,bandarbeyla,64814,9.49,75.96,92,100,7.09
433,komsomolskiy,1486910,67.55,11.07,76,82,10.56
434,noumea,2139521,-22.28,87.8,75,66,9.17
435,zhuhai,2052479,40.71,-0.41,0,64,2.24
436,toora-khem,1489401,52.47,-15.8,32,60,2.28
437,copiapo,3893656,-27.37,68.0,0,60,11.41
438,porto velho,3662762,-8.75,75.2,75,94,1.12
439,robe,336350,7.12,43.6,0,81,2.39
440,san isidro,1689639,16.74,69.25,0,90,4.29
441,luderitz,3355672,-26.65,60.57,12,95,10.6
442,zelenets,479119,53.83,25.02,36,90,7.65
443,vrangel,2013258,42.73,27.18,0,100,21.74
444,mackay,5921525,53.65,6.8,90,77,2.24
445,kishi,2334327,9.08,66.42,0,53,3.4
446,pokhara,1282898,28.21,35.32,0,54,3.51
447,kvarkeno,537541,52.08,10.12,32,84,8.32
448,nioki,2311968,-2.72,74.79,64,94,2.73
449,muros,3115824,42.77,51.8,0,66,8.05
450,gubkinskiy,1539209,64.43,-0.23,56,76,7.14
451,slavutych,6930327,51.52,33.3,0,91,13.06
452,sistranda,3139597,63.73,33.8,75,86,3.36
453,soe,587876,57.91,37.4,0,89,16.11
454,ordzhonikidze,698438,44.96,37.53,0,100,12.62
455,turhal,738618,40.38,26.6,0,86,2.24
456,ocos,3592086,14.51,84.2,75,62,9.17
457,kitimat,5993072,54.02,26.6,75,42,13.87
458,karuzi,428219,-3.1,55.93,8,91,2.73
459,palu,1633034,-0.9,68.13,12,92,1.99
460,galeana,4006081,24.83,76.72,0,36,8.59
461,lavrentiya,4031637,65.58,31.0,80,94,32.14
462,morant bay,3489440,17.88,80.6,20,78,12.75
463,carutapera,3402648,-1.2,78.3,92,93,6.13
464,havelock,4470244,34.88,44.6,90,100,13.87
465,jasper,4069659,33.83,46.4,20,87,2.21
466,vertou,2969612,47.17,48.2,0,87,4.7
467,iracoubo,3381428,5.48,78.03,36,70,7.09
468,kloulklubed,7671223,7.04,75.2,90,94,13.87
469,la sarre,6050194,48.8,4.27,36,69,7.43
470,mahibadhoo,1337605,3.78,84.24,76,96,10.38
471,kholm,549797,57.15,33.3,20,87,16.42
472,bethanien,3358416,-26.5,72.81,0,38,8.93
473,mattru,2409215,7.62,80.19,0,66,6.13
474,muscat,287286,23.6,71.6,0,78,8.05
475,brodick,2654604,55.58,51.8,40,87,20.8
476,kurumkan,2021188,54.33,-19.13,8,72,1.61
477,muroto,1856392,33.37,39.2,75,100,5.82
478,bowen,2174444,-20.01,82.4,90,65,10.29
479,tucurui,3385935,-3.77,75.96,32,94,3.89
